{'inicio': 1746825655.7871547, 'fin': 1746825655.7951517, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.008, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746825662.3796167, 'fin': 1746825662.3882132, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0086, 'score': 7, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746825640.6062477, 'fin': 1746825666.9453392, 'maquina': 'maestro', 'tipo': 'maestro:5000', 'query': 'Historia de la Tierra ', 'tiempo_total': 26.3391, 'score': 20, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826681.6453972, 'fin': 1746826681.646389, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.001, 'score': 4, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826688.2308347, 'fin': 1746826688.2308347, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826694.8287203, 'fin': 1746826694.8287203, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826701.406246, 'fin': 1746826701.4073548, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0011, 'score': 0, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826679.5929, 'fin': 1746826705.9432507, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': ' libros+tesis+articulos+videos', 'tiempo_total': 26.3504, 'score': 28, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826777.8715367, 'fin': 1746826777.8715367, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 14, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746826784.4720078, 'fin': 1746826784.4720078, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 15, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746826791.0474012, 'fin': 1746826791.0474012, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 8, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746826797.650644, 'fin': 1746826797.650644, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 7, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746826775.8506083, 'fin': 1746826802.2027218, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'Historia de la Tierra ', 'tiempo_total': 26.3521, 'score': 20, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746826915.0549004, 'fin': 1746826915.0559013, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'La historia de Internet', 'tiempo_total': 0.001, 'score': 12, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826921.6485643, 'fin': 1746826921.6485643, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'La historia de Internet', 'tiempo_total': 0.0, 'score': 15, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826928.2335253, 'fin': 1746826928.2335253, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'La historia de Internet', 'tiempo_total': 0.0, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826934.826482, 'fin': 1746826934.826482, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'La historia de Internet', 'tiempo_total': 0.0, 'score': 9, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826913.0149837, 'fin': 1746826939.3707223, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'La historia de Internet ', 'tiempo_total': 26.3557, 'score': 20, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826982.145588, 'fin': 1746826982.145588, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'la historia del Internet', 'tiempo_total': 0.0, 'score': 12, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826988.7328308, 'fin': 1746826988.7339308, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'la historia del Internet', 'tiempo_total': 0.0011, 'score': 13, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826995.3214805, 'fin': 1746826995.3214805, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'la historia del Internet', 'tiempo_total': 0.0, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827001.914909, 'fin': 1746827001.914909, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'la historia del Internet', 'tiempo_total': 0.0, 'score': 7, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746826980.102703, 'fin': 1746827006.4630303, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'la historia del Internet videos', 'tiempo_total': 26.3603, 'score': 18, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827384.1763306, 'fin': 1746827384.1763306, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'historia del internet', 'tiempo_total': 0.0, 'score': 4, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827382.1284397, 'fin': 1746827388.7245078, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'historia del internet videos', 'tiempo_total': 6.5961, 'score': 2, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827446.8236659, 'fin': 1746827446.8246634, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'La historia de Internet', 'tiempo_total': 0.001, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827444.777146, 'fin': 1746827451.3730652, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'La historia de Internet articulos', 'tiempo_total': 6.5959, 'score': 6, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746827909.6665082, 'fin': 1746827909.6674898, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'xd', 'tiempo_total': 0.001, 'score': 4, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746827907.6147242, 'fin': 1746827914.2073948, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'xd libros', 'tiempo_total': 6.5927, 'score': 2, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828472.8315318, 'fin': 1746828472.8315318, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'xd', 'tiempo_total': 0.0, 'score': 4, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746828479.4137933, 'fin': 1746828479.4137933, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'xd', 'tiempo_total': 0.0, 'score': 8, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746828485.991829, 'fin': 1746828485.991829, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'xd', 'tiempo_total': 0.0, 'score': 2, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746828492.574464, 'fin': 1746828492.5754714, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'xd', 'tiempo_total': 0.001, 'score': 0, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746828470.7911236, 'fin': 1746828497.111361, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'xd ', 'tiempo_total': 26.3202, 'score': 7, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746828549.975146, 'fin': 1746828549.975146, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 14, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828556.5647557, 'fin': 1746828556.5647557, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 15, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828563.1477697, 'fin': 1746828563.1477697, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 8, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828569.7410867, 'fin': 1746828569.7410867, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 7, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828547.947151, 'fin': 1746828574.2827494, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'Historia de la Tierra ', 'tiempo_total': 26.3356, 'score': 20, 'edad': 17, 'rango': '16-25'}
{'inicio': 1746828612.7801208, 'fin': 1746828612.7801208, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 7, 'edad': 18, 'rango': '16-25'}
{'inicio': 1746828610.7430737, 'fin': 1746828617.3138828, 'maquina': 'maestro:5000', 'tipo': 'maestro', 'query': 'Historia de la Tierra videos', 'tiempo_total': 6.5708, 'score': 3, 'edad': 18, 'rango': '16-25'}
